triple,instances,clashes,near,exists,contacts_bo,contacts_no_bk,contacts_rpr,clashscore_rpr,clashscore_no_bk,clashscore_bo,,,
cHW_cHW_UUA,0,0,0,1,2,2,2,0,0,0,,,
cHW_cHW_UUC,0,0,0,1,2,0,2,0,0,0,,,
cHW_cHW_UUU,3,0,2,1,2,2,2,0,0,0,,,
cHW_cSH_AGA,0,1,0,1,3,3,3,9.71,11.76,23.26,,,
cHW_cSH_AGC,0,1,0,1,2,2,2,0,0,0,,,
cHW_cSH_AGG,0,0,0,1,3,3,3,0,0,0,,,
cHW_cSH_AGU,0,0,0,1,3,3,3,0,0,0,,,
cHW_cSH_AUA,0,0,0,1,3,4,4,0,0,0,,,
cHW_cSH_AUC,0,5,0,1,3,3,3,20.62,12.66,0,,,
cHW_cSH_AUU,0,3,0,1,2,2,2,20.83,12.82,0,,,
cHW_cSH_CCA,0,2,0,1,2,3,3,20.41,12.5,26.32,,,
cHW_cSH_CCC,0,13,0,1,1,0,1,42.55,52.63,117.65,,,
cHW_cSH_CCU,0,15,0,1,1,2,2,147.37,116.88,0,,,
cHW_cSH_GAA,0,5,0,1,2,3,5,38.83,23.53,23.26,,,
cHW_cSH_GAC,0,2,0,1,2,2,3,9.9,12.05,24.39,,,
cHW_cSH_GAG,0,8,0,1,1,1,2,9.71,11.76,22.73,,,
cHW_cSH_GAU,0,1,0,1,1,1,2,10,12.2,25,,,
cHW_cSH_GCA,0,2,0,1,2,3,4,19.8,12.05,24.39,,,
cHW_cSH_GCC,0,11,0,1,1,3,3,41.24,50.63,54.05,,,
cHW_cSH_GCU,0,20,0,1,1,2,2,193.88,125,26.32,,,
cHW_cSH_GGA,0,6,0,1,3,3,5,19.61,11.9,23.81,,,
cHW_cSH_GGC,0,1,0,1,2,2,2,0,0,0,,,
cHW_cSH_GGG,0,0,0,1,3,3,4,0,0,0,,,
cHW_cSH_GGU,0,0,2,1,3,0,3,0,0,0,,,
cHW_cSH_GUA,0,1,0,1,2,2,3,0,0,0,,,
cHW_cSH_GUC,0,3,0,1,2,2,2,20.41,12.5,0,,,
cHW_cSH_GUU,0,5,0,1,1,2,2,30.93,25.32,0,,,
cHW_cSH_UAA,0,4,0,1,2,3,4,30.3,12.35,0,,,
cHW_cSH_UAC,0,1,0,1,2,2,2,0,0,0,,,
cHW_cSH_UAG,0,7,0,1,1,1,1,0,0,0,,,
cHW_cSH_UAU,0,0,0,1,1,1,1,0,0,0,,,
cHW_cSH_UCA,0,1,0,1,2,2,2,10.31,0,0,,,
cHW_cSH_UCC,0,10,0,1,2,2,2,94.74,116.88,142.86,,,
cHW_cSH_UCU,0,15,0,1,1,2,2,148.94,118.42,0,,,
cHW_cSH_UUA,0,0,0,1,2,3,3,0,0,0,,,
cHW_cSH_UUC,0,6,0,1,2,3,3,31.91,26.32,29.41,,,
cHW_cSH_UUU,0,3,0,1,1,1,1,21.51,13.33,0,,,
cHW_cSS_AGA,0,0,0,1,2,4,4,0,0,0,,,
cHW_cSS_AGC,0,0,0,1,2,3,3,0,0,0,,,
cHW_cSS_AGG,0,0,0,1,2,3,5,0,0,0,,,
cHW_cSS_AGU,0,0,0,1,2,2,2,0,0,0,,,
cHW_cSS_AUA,0,3,0,1,2,4,4,20.2,12.35,0,,,
cHW_cSS_AUC,0,13,0,1,2,2,2,134.02,113.92,0,,,
cHW_cSS_AUG,0,3,0,1,3,4,3,20,12.2,0,,,
cHW_cSS_AUU,0,3,0,1,2,2,2,20.83,12.82,0,,,
cHW_cSS_CCA,0,0,0,1,1,3,4,0,0,0,,,
cHW_cSS_CCC,0,0,0,1,1,0,1,0,0,0,,,
cHW_cSS_CCG,0,1,0,1,2,3,3,0,0,0,,,
cHW_cSS_CCU,0,0,0,1,1,3,3,0,0,0,,,
cHW_cSS_GAA,0,6,0,1,1,1,2,19.61,11.9,23.26,,,
cHW_cSS_GAC,0,7,0,1,1,1,2,10,12.2,24.39,,,
cHW_cSS_GAG,0,6,0,1,2,2,3,19.42,11.76,22.73,,,
cHW_cSS_GAU,0,1,0,1,1,3,4,10,12.2,25,,,
cHW_cSS_GCA,0,0,1,1,1,4,4,0,0,0,,,
cHW_cSS_GCC,0,0,0,1,1,3,4,0,0,0,,,
cHW_cSS_GCG,0,1,0,1,2,3,4,0,0,0,,,
cHW_cSS_GCU,0,0,0,1,1,3,4,0,0,0,,,
cHW_cSS_GGA,0,0,0,1,2,4,4,0,0,0,,,
cHW_cSS_GGC,0,0,0,1,2,3,3,0,0,0,,,
cHW_cSS_GGG,0,1,0,1,2,4,4,9.52,11.49,0,,,
cHW_cSS_GGU,0,0,0,1,2,2,2,0,0,0,,,
cHW_cSS_GUA,0,3,0,1,1,3,3,20,12.2,0,,,
cHW_cSS_GUC,0,1,0,1,1,2,2,0,0,0,,,
cHW_cSS_GUG,0,4,0,1,2,5,5,0,0,0,,,
cHW_cSS_GUU,0,3,0,1,1,1,2,20.62,12.66,0,,,
cHW_cSS_UAA,0,5,0,1,1,1,1,10.2,0,0,,,
cHW_cSS_UAC,0,6,0,1,1,1,1,0,0,0,,,
cHW_cSS_UAG,0,5,0,1,2,2,2,10.1,0,0,,,
cHW_cSS_UAU,0,0,0,1,1,3,3,0,0,0,,,
cHW_cSS_UCA,0,0,0,1,1,3,3,0,0,0,,,
cHW_cSS_UCC,0,0,0,1,1,1,1,0,0,0,,,
cHW_cSS_UCG,0,1,0,1,2,3,3,0,0,0,,,
cHW_cSS_UCU,0,0,0,1,1,0,3,0,0,0,,,
cHW_cSS_UUA,0,3,0,1,1,3,3,20.83,12.82,0,,,
cHW_cSS_UUC,0,1,0,1,1,2,2,10.64,13.16,0,,,
cHW_cSS_UUG,0,3,0,1,2,3,3,20.62,12.66,0,,,
cHW_cSS_UUU,0,3,0,1,1,1,1,21.51,13.33,0,,,
cHW_cSW_AGA,0,1,0,1,2,2,2,0,0,0,,,
cHW_cSW_AGC,0,1,0,1,3,3,3,0,0,0,,,
cHW_cSW_AGG,0,0,0,1,3,3,3,0,0,0,,,
cHW_cSW_AGU,0,0,0,1,4,4,4,0,0,0,,,
cHW_cSW_AUA,1,0,0,1,3,3,4,0,0,0,,,
cHW_cSW_AUC,0,3,0,1,3,3,3,20.62,12.66,0,,,
cHW_cSW_AUG,0,74,0,1,4,6,9,123.71,12.35,0,,,
cHW_cSW_AUU,0,10,0,1,3,5,5,20.83,25.64,0,,,
cHW_cSW_CCA,0,14,0,1,2,2,2,132.65,112.5,0,,,
cHW_cSW_CCC,0,14,0,1,2,2,2,135.42,115.38,0,,,
cHW_cSW_CCG,0,25,0,1,3,3,4,131.31,111.11,0,,,
cHW_cSW_CCU,0,12,0,1,2,3,3,10.53,12.99,0,,,
cHW_cSW_GAA,0,1,0,1,2,2,3,9.71,11.76,23.26,,,
cHW_cSW_GAC,0,1,0,1,2,3,4,9.9,12.05,24.39,,,
cHW_cSW_GAG,0,4,0,1,1,1,2,28.85,11.63,22.73,,,
cHW_cSW_GAU,0,1,0,1,2,3,4,10,12.2,25,,,
cHW_cSW_GCA,0,14,0,1,2,2,2,128.71,108.43,0,,,
cHW_cSW_GCC,0,14,0,1,2,2,2,131.31,111.11,0,,,
cHW_cSW_GCG,0,11,0,1,4,4,5,98.04,119.05,238.1,,,
cHW_cSW_GCU,0,11,0,1,3,0,4,102.04,125,263.16,,,
cHW_cSW_GGA,0,1,0,1,2,2,2,0,0,0,,,
cHW_cSW_GGC,0,1,0,1,3,3,3,0,0,0,,,
cHW_cSW_GGG,0,0,0,1,3,3,4,0,0,0,,,
cHW_cSW_GGU,0,0,0,1,4,4,5,0,0,0,,,
cHW_cSW_GUA,0,0,0,1,2,2,2,0,0,0,,,
cHW_cSW_GUC,0,3,0,1,2,2,2,20.41,12.5,0,,,
cHW_cSW_GUG,0,30,0,1,3,2,4,69.31,36.14,0,,,
cHW_cSW_GUU,0,2,0,1,2,3,3,10.31,12.66,27.03,,,
cHW_cSW_UAA,0,0,0,1,2,2,2,0,0,0,,,
cHW_cSW_UAC,0,0,0,1,2,3,3,0,0,0,,,
cHW_cSW_UAG,0,2,0,1,1,1,1,20,0,0,,,
cHW_cSW_UAU,0,0,0,1,2,3,3,0,0,0,,,
cHW_cSW_UCA,0,14,0,1,2,2,2,134.02,113.92,0,,,
cHW_cSW_UCC,0,0,0,1,2,3,4,0,0,0,,,
cHW_cSW_UCG,0,16,0,1,3,3,4,142.86,125,26.32,,,
cHW_cSW_UCU,0,1,0,1,2,3,3,10.64,13.16,29.41,,,
cHW_cSW_UUA,0,3,0,1,2,2,2,20.83,12.82,0,,,
cHW_cSW_UUC,0,0,0,1,2,5,5,0,0,0,,,
cHW_cSW_UUG,0,11,0,1,3,4,6,20.62,25.32,54.05,,,
cHW_cSW_UUU,0,12,0,1,2,3,3,0,0,0,,,
cHW_tHH_AGA,0,3,0,1,4,4,4,29.13,35.29,69.77,,,
cHW_tHH_AGC,0,0,0,1,3,3,3,0,0,0,,,
cHW_tHH_AGG,0,3,0,1,2,2,4,9.62,11.63,0,,,
cHW_tHH_AUA,0,0,0,1,4,5,6,0,0,0,,,
cHW_tHH_AUC,0,0,0,1,3,4,5,0,0,0,,,
cHW_tHH_CCA,0,0,0,1,2,3,3,0,0,0,,,
cHW_tHH_CCG,0,0,0,1,2,3,4,0,0,0,,,
cHW_tHH_CCU,0,0,0,1,2,3,3,0,0,0,,,
cHW_tHH_GAA,0,1,0,1,3,4,5,9.71,11.76,23.26,,,
cHW_tHH_GAC,0,1,0,1,2,2,3,9.9,12.05,24.39,,,
cHW_tHH_GAG,0,1,0,1,2,2,3,9.62,11.63,22.73,,,
cHW_tHH_GAU,0,1,0,1,2,3,4,10,12.2,25,,,
cHW_tHH_GCA,0,0,0,1,2,3,4,0,0,0,,,
cHW_tHH_GCG,0,0,0,1,2,3,5,0,0,0,,,
cHW_tHH_GCU,0,0,0,1,2,3,4,0,0,0,,,
cHW_tHH_GGA,0,0,0,1,3,3,3,0,0,0,,,
cHW_tHH_GGC,0,0,0,1,3,4,4,0,0,0,,,
cHW_tHH_GGG,0,0,0,1,2,2,2,0,0,0,,,
cHW_tHH_GUA,0,0,0,1,2,3,4,0,0,0,,,
cHW_tHH_GUC,0,0,0,1,2,3,4,0,0,0,,,
cHW_tHH_UAA,0,0,0,1,3,4,4,0,0,0,,,
cHW_tHH_UAC,0,0,0,1,2,2,2,0,0,0,,,
cHW_tHH_UAG,0,0,0,1,2,2,2,0,0,0,,,
cHW_tHH_UAU,0,0,0,1,2,3,3,0,0,0,,,
cHW_tHH_UCA,0,0,0,1,2,3,4,0,0,0,,,
cHW_tHH_UCG,0,0,0,1,2,3,4,0,0,0,,,
cHW_tHH_UCU,0,0,0,1,2,3,3,0,0,0,,,
cHW_tHH_UUA,0,0,0,1,2,2,2,0,0,0,,,
cHW_tHH_UUC,0,0,0,1,2,2,2,0,0,0,,,
cHW_tHS_AGG,0,1,0,1,4,4,4,0,0,0,,,
cHW_tHS_AUA,3,0,3,1,3,3,4,0,0,25.64,,,
cHW_tHS_AUG,0,0,0,1,3,3,4,0,0,0,,,
cHW_tHS_CCA,0,0,0,1,2,2,2,0,0,0,,,
cHW_tHS_CCC,0,13,0,1,2,2,2,135.42,115.38,0,,,
cHW_tHS_CCU,0,0,0,1,2,3,3,0,0,0,,,
cHW_tHS_GAA,0,6,0,1,2,2,3,19.61,23.81,23.26,,,
cHW_tHS_GAC,0,1,0,1,2,4,5,9.9,12.05,24.39,,,
cHW_tHS_GAG,0,4,0,1,3,5,6,38.46,46.51,22.73,,,
cHW_tHS_GAU,0,13,0,1,3,2,3,110,134.15,50,,,
cHW_tHS_GCA,0,5,0,1,2,2,3,10,0,0,,,
cHW_tHS_GCC,0,13,0,1,2,2,3,131.31,111.11,0,,,
cHW_tHS_GCU,0,4,0,1,2,2,3,20.41,12.5,0,,,
cHW_tHS_GGG,0,0,0,1,3,3,3,0,0,0,,,
cHW_tHS_GUA,0,0,0,1,1,1,3,0,0,0,,,
cHW_tHS_GUG,0,0,0,1,2,2,4,0,0,0,,,
cHW_tHS_UAA,0,5,0,1,2,2,2,10.2,12.5,0,,,
cHW_tHS_UAC,0,0,0,1,2,4,4,0,0,0,,,
cHW_tHS_UAG,0,3,0,1,3,5,5,30,36.59,0,,,
